indicator,indicator_display,specification,sample,term,term_interpretation,coefficient,std_error,ci95_low,ci95_high,p_value,n_obs,n_economies,n_years,first_year,last_year,r_squared,adjusted_r_squared,aic,bic,log_gdp_center,governance_center,covariance
government_effectiveness,Government Effectiveness,Common-slope TWFE,Main available governance sample,log_gdp_c,GDP-emissions elasticity on matched governance sample,0.6174999982728301,0.08107530311870356,0.4575873548693808,0.7774126416762794,1.1560555268432357e-12,4870,193,26,1996,2024,0.9844376902659203,0.9837082592785994,-173.8699427876145,1247.6260355331685,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,Additive-governance TWFE,Main available governance sample,log_gdp_c,GDP-emissions elasticity conditional on governance,0.6311565446014256,0.08291382158532466,0.46761761382519906,0.7946954753776521,1.1851200565615653e-12,4870,193,26,1996,2024,0.9844488320109108,0.9837164221636827,-175.35783963450922,1252.6289879023504,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,Additive-governance TWFE,Main available governance sample,gov_c10,Association of a 10-point higher governance score with log CO2 at average log GDP,-0.013806032240055614,0.01975987652280869,-0.05278034336241684,0.025168278882305616,0.48559109240407394,4870,193,26,1996,2024,0.9844488320109108,0.9837164221636827,-175.35783963450922,1252.6289879023504,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Main available governance sample,log_gdp_c,GDP-emissions elasticity at mean governance,0.5639703734188628,0.07922912751853746,0.4076991202915283,0.7202416265461973,2.1246483871157618e-11,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Main available governance sample,gov_c10,Governance association at average log GDP,-0.017017491755504998,0.022053168506592204,-0.0605150839402365,0.026480100429226505,0.44126602594560593,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Main available governance sample,gdp_x_gov,Change in GDP-emissions elasticity for a 10-point higher governance score,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Common complete-case governance sample,log_gdp_c,GDP-emissions elasticity at mean governance,0.5639703734188628,0.07922912751853746,0.4076991202915283,0.7202416265461973,2.1246483871157618e-11,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Common complete-case governance sample,gov_c10,Governance association at average log GDP,-0.017017491755504998,0.022053168506592204,-0.0605150839402365,0.026480100429226505,0.44126602594560593,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Common complete-case governance sample,gdp_x_gov,Change in GDP-emissions elasticity for a 10-point higher governance score,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,4870,193,26,1996,2024,0.9847956667165596,0.9840761671849707,-283.20203367057184,1151.2756430823645,8.59229001945969,50.93973615281314,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Annual governance era 2002-2024,log_gdp_c,GDP-emissions elasticity at mean governance,0.5921068052754348,0.08272894910190395,0.4289325163368476,0.755281094214022,1.6983566216554556e-11,4350,193,23,2002,2024,0.9875545760076702,0.9869009804107836,-1025.2842590885311,365.1047259615041,8.631974869848886,51.21769633009195,Economy-clustered SE; finite-sample correction; t-based inference
government_effectiveness,Government Effectiveness,GDP-governance interaction TWFE,Annual governance era 2002-2024,gov_c10,Governance association at average log GDP,-0.008148054764796063,0.022050556835167472,-0.051640495697972966,0.03534438616838084,0.7121496553006192,4350,193,23,2002,2024,0.9875545760076702,0.9869009804107836,-1025.2842590885311,365.1047259615041,8.631974869848886,51.21769633009195,Economy-clustered SE; finite-sample correction; t-based inference
