indicator,indicator_display,sample,n_obs,n_economies,first_year,last_year,governance_mean_score,governance_sd_score,governance_p25,governance_p50,governance_p75,beta_gdp_at_mean_governance,beta_std_error,beta_ci95_low,beta_ci95_high,beta_p_value,gamma_governance_10pt_at_mean_gdp,gamma_std_error,gamma_ci95_low,gamma_ci95_high,gamma_p_value,implied_co2_pct_change_for_10pt_governance_at_mean_gdp,delta_elasticity_change_per_10pt_governance,delta_std_error,delta_ci95_low,delta_ci95_high,delta_p_value,interaction_significant_raw_5pct,delta_p_value_holm,interaction_significant_holm_5pct
government_effectiveness,Government Effectiveness,Main available governance sample,4870,193,1996,2024,50.93973615281314,19.082881704419815,36.511190375,48.5697154,64.24309902499999,0.5639703734188628,0.07922912751853746,0.4076991202915283,0.7202416265461973,2.1246483871157618e-11,-0.017017491755504998,0.022053168506592204,-0.0605150839402365,0.026480100429226505,0.44126602594560593,-1.6873512123647072,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,True,0.005120369943134443,True
government_effectiveness,Government Effectiveness,Common complete-case governance sample,4870,193,1996,2024,50.93973615281314,19.082881704419815,36.511190375,48.5697154,64.24309902499999,0.5639703734188628,0.07922912751853746,0.4076991202915283,0.7202416265461973,2.1246483871157618e-11,-0.017017491755504998,0.022053168506592204,-0.0605150839402365,0.026480100429226505,0.44126602594560593,-1.6873512123647072,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,True,0.005120369943134443,True
government_effectiveness,Government Effectiveness,Annual governance era 2002-2024,4350,193,2002,2024,51.21769633009195,18.928007559210304,37.03156,48.925739300000004,64.42301649999999,0.5921068052754348,0.08272894910190395,0.4289325163368476,0.755281094214022,1.6983566216554556e-11,-0.008148054764796063,0.022050556835167472,-0.051640495697972966,0.03534438616838084,0.7121496553006192,-0.811494934252166,-0.04374688029327044,0.014630224609640564,-0.07260348398044307,-0.014890276606097805,0.003153355811008207,True,0.00946006743302462,True
government_effectiveness,Government Effectiveness,Balanced annual governance era 2002-2024,3910,170,2002,2024,51.41573342329924,19.201678647793177,37.002019225,49.010418,64.516405175,0.555346746915008,0.08788443860231845,0.3818540373512328,0.7288394564787831,2.2532920016563163e-09,0.0007785631728913655,0.02457357169104018,-0.04773213569645058,0.04928926204223331,0.9747622805957357,0.0778866331869521,-0.044863149826161346,0.016272326872724677,-0.07698635758574257,-0.012739942066580114,0.006474345359009534,True,0.019423036077028603,True
government_effectiveness,Government Effectiveness,Common balanced all-three governance sample 2002-2024,3910,170,2002,2024,51.41573342329924,19.201678647793177,37.002019225,49.010418,64.516405175,0.555346746915008,0.08788443860231845,0.3818540373512328,0.7288394564787831,2.2532920016563163e-09,0.0007785631728913655,0.02457357169104018,-0.04773213569645058,0.04928926204223331,0.9747622805957357,0.0778866331869521,-0.044863149826161346,0.016272326872724677,-0.07698635758574257,-0.012739942066580114,0.006474345359009534,True,0.019423036077028603,True
regulatory_quality,Regulatory Quality,Main available governance sample,4873,193,1996,2024,54.61541084235584,15.434939112566285,43.2168989,52.5809102,66.1639122,0.5893959494558043,0.08108286776237561,0.4294683855757182,0.7493235133358904,8.897079735224694e-12,-0.030513891944173817,0.0254212777562761,-0.08065473099533989,0.019626947106992254,0.23149055938533517,-3.005304247536855,-0.04651866950600089,0.015270316983075263,-0.07663778914465218,-0.016399549867349605,0.0026421604603413876,True,0.005284320920682775,True
regulatory_quality,Regulatory Quality,Common complete-case governance sample,4870,193,1996,2024,54.6184420637577,15.43897178438982,43.214375825,52.58553595,66.169367475,0.5813267885071944,0.08064864767852432,0.42225567879695414,0.7403978982174347,1.266005484654391e-11,-0.02988430941152169,0.025469904743843256,-0.08012106016234832,0.02035244133930495,0.24212162200417847,-2.9442188542005976,-0.046387590990977605,0.015204123755000434,-0.07637615133882543,-0.016399030643129777,0.0026035374102746566,True,0.005207074820549313,True
regulatory_quality,Regulatory Quality,Annual governance era 2002-2024,4350,193,2002,2024,54.93428200294253,15.338105267262879,43.37068755,52.83633385,66.48882115,0.6050098954562214,0.08772569111673899,0.4319800500995785,0.7780397408128643,7.494924542652339e-11,0.0026716162330762327,0.029037548540014245,-0.0546019426235718,0.059945175089724266,0.9267895378310326,0.26751881799733646,-0.04438899103136679,0.01885877774798647,-0.08158597809194244,-0.00719200397079113,0.019595478313164504,True,0.03919095662632901,True
regulatory_quality,Regulatory Quality,Balanced annual governance era 2002-2024,3910,170,2002,2024,55.236255968414326,15.453542664530863,43.725569750000005,53.15579975,66.8308252,0.59125828000948,0.0939761579908324,0.40573990447544295,0.776776655543517,2.6012535796536803e-09,0.007639051603289835,0.03236237407749601,-0.05624752554181516,0.07152562874839483,0.8136817807157595,0.7668303596376047,-0.029508661692074178,0.019058350147764084,-0.06713175924535977,0.008114435861211421,0.12341287507444611,False,0.24682575014889221,False
regulatory_quality,Regulatory Quality,Common balanced all-three governance sample 2002-2024,3910,170,2002,2024,55.236255968414326,15.453542664530863,43.725569750000005,53.15579975,66.8308252,0.59125828000948,0.0939761579908324,0.40573990447544295,0.776776655543517,2.6012535796536803e-09,0.007639051603289835,0.03236237407749601,-0.05624752554181516,0.07152562874839483,0.8136817807157595,0.7668303596376047,-0.029508661692074178,0.019058350147764084,-0.06713175924535977,0.008114435861211421,0.12341287507444611,False,0.24682575014889221,False
