indicator,indicator_display,sample,delta_elasticity_change_per_10pt_governance,delta_std_error,delta_ci95_low,delta_ci95_high,delta_p_value,delta_p_value_holm,interaction_significant_raw_5pct,interaction_significant_holm_5pct
government_effectiveness,Government Effectiveness,Main available governance sample,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,0.005120369943134443,True,True
government_effectiveness,Government Effectiveness,Common complete-case governance sample,-0.04295554292527557,0.013500091895658877,-0.06958307681267295,-0.016328009037878184,0.0017067899810448146,0.005120369943134443,True,True
government_effectiveness,Government Effectiveness,Annual governance era 2002-2024,-0.04374688029327044,0.014630224609640564,-0.07260348398044307,-0.014890276606097805,0.003153355811008207,0.00946006743302462,True,True
government_effectiveness,Government Effectiveness,Balanced annual governance era 2002-2024,-0.044863149826161346,0.016272326872724677,-0.07698635758574257,-0.012739942066580114,0.006474345359009534,0.019423036077028603,True,True
government_effectiveness,Government Effectiveness,Common balanced all-three governance sample 2002-2024,-0.044863149826161346,0.016272326872724677,-0.07698635758574257,-0.012739942066580114,0.006474345359009534,0.019423036077028603,True,True
regulatory_quality,Regulatory Quality,Main available governance sample,-0.04651866950600089,0.015270316983075263,-0.07663778914465218,-0.016399549867349605,0.0026421604603413876,0.005284320920682775,True,True
regulatory_quality,Regulatory Quality,Common complete-case governance sample,-0.046387590990977605,0.015204123755000434,-0.07637615133882543,-0.016399030643129777,0.0026035374102746566,0.005207074820549313,True,True
regulatory_quality,Regulatory Quality,Annual governance era 2002-2024,-0.04438899103136679,0.01885877774798647,-0.08158597809194244,-0.00719200397079113,0.019595478313164504,0.03919095662632901,True,True
regulatory_quality,Regulatory Quality,Balanced annual governance era 2002-2024,-0.029508661692074178,0.019058350147764084,-0.06713175924535977,0.008114435861211421,0.12341287507444611,0.24682575014889221,False,False
regulatory_quality,Regulatory Quality,Common balanced all-three governance sample 2002-2024,-0.029508661692074178,0.019058350147764084,-0.06713175924535977,0.008114435861211421,0.12341287507444611,0.24682575014889221,False,False
rule_of_law,Rule of Law,Main available governance sample,-0.03435119012583984,0.018972344208558565,-0.07177094557242779,0.003068565320748104,0.07175908169021833,0.07175908169021833,False,False
rule_of_law,Rule of Law,Common complete-case governance sample,-0.038160152801267534,0.01886127553759437,-0.07536206649330185,-0.0009582391092332262,0.04443899340558363,0.04443899340558363,True,True
rule_of_law,Rule of Law,Annual governance era 2002-2024,-0.0413976639045988,0.021281490717773664,-0.08337182215535852,0.0005764943461609232,0.05319849430106008,0.05319849430106008,False,False
rule_of_law,Rule of Law,Balanced annual governance era 2002-2024,-0.03243370808732589,0.022783112072896662,-0.07739520468220595,0.01252778850755417,0.15632685642582578,0.24682575014889221,False,False
rule_of_law,Rule of Law,Common balanced all-three governance sample 2002-2024,-0.03315028329719395,0.02364514512222833,-0.07982817486167229,0.013527608267284386,0.16275194243936533,0.24682575014889221,False,False
