period,start_year,end_year,years_elapsed,iso3c,country,region,region_display,gdp_per_capita_start,gdp_per_capita_end,co2_per_capita_start,co2_per_capita_end,d_log_gdp,d_log_co2,gdp_change_pct,co2_change_pct,annualized_gdp_growth_pct,annualized_co2_growth_pct,decoupling_ratio,decoupling_classification,gdp_expansion,absolute_decoupling,relative_decoupling,coupled_expansion,any_decoupling,average_population
1990-2004,1990,2004,14,ABW,Aruba,Global_South,Global South,24763.6538099384,29959.7748189582,3.20303411789078,3.67255986041329,0.19047863657496933,0.13679040614403415,20.982852728035084,14.658780557470186,1.3698594497809857,0.9818632853391573,0.7181404098836861,Relative decoupling,True,False,True,False,True,78945.5
1990-2004,1990,2004,14,AGO,Angola,Global_South,Global South,2675.05239370666,2583.32411461288,0.965977313621804,0.951069768682142,-0.03489198043472541,-0.015552925725452041,-3.4290273831488416,-1.543260357095566,-0.24891811547309572,-0.11103064192964363,,"Economic contraction, emissions falling",False,False,False,False,False,15113391.5
1990-2004,1990,2004,14,ALB,Albania,Europe_NorthAmerica,Europe & North America,1682.8810874018,2567.29763687121,2.02191239302586,1.45837098137756,0.42234658495296884,-0.32672374615837513,52.55371612945397,-27.87170273015346,3.062726622236722,-2.306719916889388,-0.7735915425828719,Absolute decoupling,True,True,False,False,True,3156740.5
1990-2004,1990,2004,14,ARE,United Arab Emirates,Global_South,Global South,66481.6137644725,55611.419401142,29.9689182497287,25.9698706267172,-0.17853685960751164,-0.14322374222163203,-16.350677650276147,-13.343983889200583,-1.2671662567215303,-1.017811610873809,,"Economic contraction, emissions falling",False,False,False,False,False,3163593.5
1990-2004,1990,2004,14,ARG,Argentina,Global_South,Global South,8115.09386370753,10302.4465316428,3.05886258479045,3.85579719412006,0.23865562678249574,0.23153463793099327,26.954126528561527,26.05329880760907,1.7192956848820717,1.6675701287115263,0.9701620743348643,Relative decoupling,True,False,True,False,True,35785908.5
1990-2004,1990,2004,14,ARM,Armenia,Global_South,Global South,1644.02214502158,1955.22262459229,5.85004256603366,1.18777844481658,0.17335829467484398,-1.5943642281762658,18.929214579808807,-79.69624269551434,1.2459718828343957,-10.763778585377459,-9.196930733350275,Absolute decoupling,True,True,False,False,True,3358514.0
1990-2004,1990,2004,14,ATG,Antigua and Barbuda,Global_South,Global South,13166.5241173582,16433.4130541483,2.60045032188501,2.11384799095517,0.22163908688337663,-0.20717465177909644,24.812083338556825,-18.71223329415932,1.5957343315096795,-1.4689234316011768,-0.9347387894992946,Absolute decoupling,True,True,False,False,True,70892.5
1990-2004,1990,2004,14,AUS,Australia,DevelopedAsia_Oceania,Developed Asia & Oceania,36975.4199007908,50018.5904483861,16.2738304687782,19.1634087908315,0.302141380416435,0.1634443436418942,35.27524658973877,17.755981467282943,2.1816092718591085,1.1743010046336044,0.540953190246971,Relative decoupling,True,False,True,False,True,18498925.0
1990-2004,1990,2004,14,AUT,Austria,Europe_NorthAmerica,Europe & North America,31167.1857978698,40333.3307183894,8.01839056506704,9.7416827235943,0.2578123879913541,0.19467614289429136,29.409600789642365,21.491746311721993,1.858577545467166,1.4002569082955274,0.7551077914100076,Relative decoupling,True,False,True,False,True,7924908.0
1990-2004,1990,2004,14,AZE,Azerbaijan,Global_South,Global South,2866.41060718579,2111.4533834475,7.8219979930873,3.55156804911816,-0.30568406983690277,-0.7895508098186708,-26.33806970451801,-54.59512962983546,-2.159792755850487,-5.483568322216737,,"Economic contraction, emissions falling",False,False,False,False,False,7740850.0
1990-2004,1990,2004,14,BDI,Burundi,Global_South,Global South,373.245241687992,258.050009115333,0.0359402418305754,0.0299699507130413,-0.3690822880952007,-0.18166237327925616,-30.863148328881994,-16.61171659800852,-2.601854988577834,-1.2892059979841664,,"Economic contraction, emissions falling",False,False,False,False,False,6448854.0
1990-2004,1990,2004,14,BEL,Belgium,Europe_NorthAmerica,Europe & North America,29609.6207516724,37976.6972967442,11.6194738857627,11.7049703885478,0.24887340867647012,0.007331097341195747,28.25796593358674,0.7358035624130732,1.793561752653905,0.052378693858190495,0.029457133970974013,Relative decoupling,True,False,True,False,True,10194258.0
1990-2004,1990,2004,14,BEN,Benin,Global_South,Global South,749.459666582926,907.624431209378,0.0754712837067041,0.313564226616338,0.1914781686906446,1.4242519730310015,21.10383942975693,315.47488159192943,1.3770970245761793,10.708704690020854,7.438195083910831,Coupled expansion,True,False,False,True,False,6720286.5
1990-2004,1990,2004,14,BFA,Burkina Faso,Global_South,Global South,332.153276660935,474.086412333459,0.0357339533478118,0.0791894660751542,0.35579307051443987,0.79574197490345,42.73121647311362,121.60846661541704,2.5739474228958725,5.848507620819587,2.2365302779868355,Coupled expansion,True,False,False,True,False,11329944.5
1990-2004,1990,2004,14,BGD,Bangladesh,Global_South,Global South,473.444821021085,702.656357081873,0.132280823364504,0.265286510438952,0.3948325772397716,0.6958833009082122,48.41356920251967,100.54797338836225,2.8603777629944815,5.096201562314784,1.7624769105250913,Coupled expansion,True,False,False,True,False,127268286.5
1990-2004,1990,2004,14,BGR,Bulgaria,Europe_NorthAmerica,Europe & North America,4425.49968282931,4849.87141310477,9.18234070928367,6.66896898479433,0.09156899707812194,-0.31981687836928896,9.589238745672102,-27.37179771545868,0.6562079362708584,-2.2585112710966526,-3.4926327531624892,Absolute decoupling,True,True,False,False,True,8217574.5
1990-2004,1990,2004,14,BHR,Bahrain,Global_South,Global South,18345.8379968815,23688.1121059225,23.3043316103241,24.1830866740881,0.2555705867762814,0.037014241739024456,29.119815131634176,3.7707799496583982,1.842268373934397,0.26473725280604654,0.14482981866542247,Relative decoupling,True,False,True,False,True,669269.0
1990-2004,1990,2004,14,BHS,"Bahamas, The",Global_South,Global South,30995.4830715942,32444.0739567569,3.93737882549059,2.57223749345168,0.045676319224941864,-0.4257390890421725,4.673554794473489,-34.67132304367021,0.32679222837586064,-2.995220444597413,-9.320783641640169,Absolute decoupling,True,True,False,False,True,307863.5
