region,log_gdp_start,log_co2_start,log_gdp_end,log_co2_end,period,start_year,end_year,years_elapsed,d_log_gdp,d_log_co2,gdp_change_pct,co2_change_pct,annualized_gdp_growth_pct,annualized_co2_growth_pct,decoupling_classification,region_display
China,6.821402588773546,0.7546038987918056,8.048105227696462,1.4447277581912705,1990-2004,1990,2004,14,1.2267026389229159,0.690123859399465,240.9967085568594,99.39624889453104,9.157501052070781,5.052975066820609,Relative decoupling,China
DevelopedAsia_Oceania,10.114276390612542,2.210261304933492,10.362637507228364,2.37958696398742,1990-2004,1990,2004,14,0.24836111661582194,0.16932565905392805,28.192277223263098,18.450582116519687,1.789836961267155,1.2168126460074147,Relative decoupling,Developed Asia & Oceania
Europe_NorthAmerica,10.077851188957501,2.5982284511228055,10.35895551609419,2.5214142821213854,1990-2004,1990,2004,14,0.2811043271366884,-0.07681416900142013,32.459178759546006,-7.3938071369492375,2.0281817202516983,-0.5471701765352166,Absolute decoupling,Europe & North America
Global_South,7.933804452354934,0.5557877794197509,8.1066869272164,0.7034575628146968,1990-2004,1990,2004,14,0.17288247486146524,0.14766978339494596,18.872639164041473,15.913006916224859,1.2425308813491354,1.0603666256677746,Relative decoupling,Global South
India,6.28761739638858,-0.364633047419348,6.794134759427068,0.027835407203404258,1990-2004,1990,2004,14,0.5065173630384878,0.39246845462275226,65.95016775240062,48.063115747590814,3.6842266044309735,2.843009619089054,Relative decoupling,India
China,8.15070376955034,1.565066752322106,8.947230960796519,2.0708602419678788,2005-2014,2005,2014,9,0.7965271912461791,0.5057934896457728,121.782545540955,65.83008430929631,9.253755343411264,5.780845923669298,Relative decoupling,China
DevelopedAsia_Oceania,10.387189986788766,2.380023113239112,10.507713887059253,2.39879545936571,2005-2014,2005,2014,9,0.12052390027048787,0.018772346126598283,12.808770224478971,1.8949654375596037,1.3481612808497578,0.20879930641990452,Relative decoupling,Developed Asia & Oceania
Europe_NorthAmerica,10.384126914443058,2.517343658225704,10.465607598481371,2.358611746751137,2005-2014,2005,2014,9,0.0814806840383131,-0.1587319114745669,8.489226164424801,-14.677493183900747,0.9094515404277193,-1.7482259637102593,Absolute decoupling,Europe & North America
Global_South,8.139102207278505,0.7278928154883817,8.338345127287653,0.8578858833748322,2005-2014,2005,2014,9,0.1992429200091479,0.1299930678864505,22.04784085186551,13.882048886431786,2.238496835844561,1.454848809650744,Relative decoupling,Global South
India,6.854072358708038,0.05316618858826517,7.3027096131498554,0.5336688355615986,2005-2014,2005,2014,9,0.44863725444181757,0.48050264697333345,56.617643060131414,61.6886921287862,5.111192898025019,5.484009107292076,Coupled expansion,India
China,9.008876710627593,2.052914091175337,9.482020873732049,2.231635594774488,2015-2024,2015,2024,9,0.47314416310445573,0.17872150359915118,60.5032752802759,19.568770307281792,5.397799646097234,2.005642545977837,Relative decoupling,China
DevelopedAsia_Oceania,10.522573951192609,2.3858156267267123,10.631343730726712,2.2145130841293486,2015-2024,2015,2024,9,0.1087697795341036,-0.17130254259736377,11.490564669595237,-15.743337738764007,1.2158856183122513,-1.8853620375347435,Absolute decoupling,Developed Asia & Oceania
Europe_NorthAmerica,10.484611369243206,2.344720056886175,10.63777963533239,2.2187075456864913,2015-2024,2015,2024,9,0.15316826608918355,-0.1260125111996837,16.552108011769874,-11.839618320697687,1.7164339288070707,-1.3903826543216868,Absolute decoupling,Europe & North America
Global_South,8.345354230980217,0.8497236926171929,8.442917792179983,0.8967507096229765,2015-2024,2015,2024,9,0.09756356119976672,0.0470270170057836,10.248151438412112,4.815032658056229,1.0899365671556804,0.5238899403709363,Relative decoupling,Global South
India,7.3677074101766316,0.5397061519395673,7.7819523715281615,0.7764085805388091,2015-2024,2015,2024,9,0.41424496135153,0.23670242859924184,51.3227763804875,26.706401965607917,4.710291054065863,2.6649173983397834,Relative decoupling,India
China,6.821402588773546,0.7546038987918056,9.482020873732049,2.231635594774488,1990-2024,1990,2024,34,2.6606182849585025,1.4770316959826826,1330.513101231915,337.9925416218179,8.139673526222158,4.439953092093818,Relative decoupling,China
DevelopedAsia_Oceania,10.114276390612542,2.210261304933492,10.631343730726712,2.2145130841293486,1990-2024,1990,2024,34,0.5170673401141705,0.004251779195856731,67.71020607525247,0.426083083299611,1.5324090937882007,0.012506014865842907,Relative decoupling,Developed Asia & Oceania
Europe_NorthAmerica,10.077851188957501,2.5982284511228055,10.63777963533239,2.2187075456864913,1990-2024,1990,2024,34,0.5599284463748884,-0.3795209054363142,75.05472378138674,-31.581087800773876,1.6604836675340628,-1.1100311370408678,Absolute decoupling,Europe & North America
Global_South,7.933804452354934,0.5557877794197509,8.442917792179983,0.8967507096229765,1990-2024,1990,2024,34,0.5091133398250491,0.34096293020322566,66.3815301968086,40.63011085996096,1.5086592598319681,1.0078773601392532,Relative decoupling,Global South
India,6.28761739638858,-0.364633047419348,7.7819523715281615,0.7764085805388091,1990-2024,1990,2024,34,1.4943349751395818,1.141041627958157,345.63719690494327,213.00269913774565,4.493118197676282,3.412953914954242,Relative decoupling,India
